bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
SJ Benn,West Indies,-0.8448275862068966,1,0.3333333333333333,0.006802721088435374,1,1.1489262410949157,3.068173455281889,0.0,0.0,2.10836941483561
J Mubarak,Sri Lanka,-0.5833333333333334,0,0.0,0.0,1,2.9025623238876253,1.2943056140646505,0.0,0.0,2.1048246883504858
R Rampaul,West Indies,-1.0806451612903225,1,0.5,0.014925373134328358,0,1.1489262410949157,2.903333848213366,0.0,0.0,2.0509064995836965
AD Mathews,Sri Lanka,-1.0833333333333333,0,0.0,0.0,1,2.9025623238876253,1.2943056140646505,0.0,0.0,2.016462619384969
PM Seelaar,Netherlands,-1.0606060606060606,2,2.0,0.05714285714285714,0,1.0404695705900524,0.0,0.0,0.0,1.9901828985440935
BP Nash,West Indies,-1.1,0,0.0,0.0,0,1.1489262410949157,3.5317634173055863,0.0,0.0,1.9424069454574657
AN Petersen,South Africa,-0.7777777777777778,0,0.0,0.0,1,2.903333848213366,0.7978609625668449,0.0,0.0,1.9364373725748347
LRPL Taylor,New Zealand,-1.0,0,0.0,0.0,0,2.279844646651876,1.9434912142743468,0.0,0.0,1.9205596414971668
Mosharraf Hossain,Bangladesh,-0.7481481481481481,1,0.3333333333333333,0.009900990099009901,0,0.7978609625668449,2.903333848213366,0.0,0.0,1.905375723340963
Syed Rasel,Bangladesh,-0.7209302325581395,1,0.3333333333333333,0.008064516129032258,0,0.7978609625668449,2.903333848213366,0.0,0.0,1.90008517917501
J Louw,South Africa,-1.1363636363636365,0,0.0,0.0,1,2.903333848213366,0.7978609625668449,0.0,0.0,1.873066595841989
S Chattergoon,West Indies,-0.7142857142857143,0,0.0,0.0,0,1.1489262410949157,2.903333848213366,0.0,0.0,1.8405790486493196
XM Marshall,West Indies,-1.25,0,0.0,0.0,0,1.1489262410949157,3.1509790209790207,0.0,0.0,1.812894495614251
OA Shah,England,-1.6666666666666667,0,0.0,0.0,0,1.9434912142743468,2.279844646651876,0.0,0.0,1.7777021581774375
RN Lewis,West Indies,-1.1290322580645162,0,0.0,0.0,0,1.1489262410949157,2.903333848213366,0.0,0.0,1.7672833232401346
Mohammad Ashraful,Bangladesh,-0.9230769230769231,0,0.0,0.0,0,0.7978609625668449,2.903333848213366,0.0,0.0,1.6825792402629935
Junaid Siddique,Bangladesh,-1.0,0,0.0,0.0,0,0.7978609625668449,2.903333848213366,0.0,0.0,1.6689850758067601
C Zhuwao,Zimbabwe,-0.8333333333333334,0,0.0,0.0,1,1.2943056140646505,0.0,0.0,0.0,1.1557538381247912
Mudassar Bukhari,Netherlands,-0.8333333333333334,0,0.0,0.0,0,1.0404695705900524,0.0,0.0,0.0,0.9967635154468519
E Schiferli,Netherlands,-1.121212121212121,0,0.0,0.0,0,1.0404695705900524,0.0,0.0,0.0,0.9458883848303421
PW Borren,Netherlands,-1.1666666666666667,0,0.0,0.0,0,1.0404695705900524,0.0,0.0,0.0,0.9378554694698404
Tamim Iqbal,Bangladesh,-6.0,0,0.0,0.0,0,0.7978609625668449,2.903333848213366,0.0,0.0,0.7853643861515875
