batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
SPD Smith,Australia,767,0.9818435754189944,46.86666666666667,6,2,0.17187956737795967,1.1164827452575843,936135
Tamim Iqbal,Bangladesh,156,1.303030303030303,52.0,1,1,0.20939597315436242,1.6161073825503356,1051301
Shoaib Malik,Pakistan,201,1.7674418604651163,152.0,3,0,0.16170212765957448,2.0062345373577437,1050225
RR Rossouw,South Africa,650,0.9519867549668874,47.916666666666664,4,2,0.21763931548924967,1.1806745211293799,936137
Shoaib Malik,Pakistan,201,1.7674418604651163,152.0,3,0,0.16170212765957448,2.0062345373577437,1050227
SPD Smith,Australia,767,0.9818435754189944,46.86666666666667,6,2,0.17187956737795967,1.1164827452575843,936139
MM Ali,England,520,1.5234375,51.0,4,2,0.15317804974338728,1.5930517173312277,1029819
SPD Smith,Australia,767,0.9818435754189944,46.86666666666667,6,2,0.17187956737795967,1.1164827452575843,936141
Tamim Iqbal,Bangladesh,156,1.303030303030303,74.5,1,1,0.20939597315436242,1.6161073825503356,1029821
RR Rossouw,South Africa,650,0.9519867549668874,47.916666666666664,4,2,0.21763931548924967,1.1806745211293799,936143
Tamim Iqbal,Bangladesh,156,0.9285714285714286,74.5,1,1,0.20939597315436242,1.1516778523489934,1029823
MJ Santner,New Zealand,495,1.148491879350348,61.875,3,2,0.3188831741366642,1.2372310862453257,1030219
MJ Santner,New Zealand,495,1.2045454545454546,61.875,3,2,0.3188831741366642,1.2878660648682692,1030221
MJ Santner,New Zealand,495,1.2045454545454546,61.875,3,2,0.3188831741366642,1.2878660648682692,1030223
TWM Latham,New Zealand,495,1.1666666666666667,61.875,3,2,0.3188831741366642,1.2372310862453257,1030225
V Kohli,India,674,1.02,74.88888888888889,3,1,0.2080876158382477,1.2448909768489052,1030227
Sikandar Raza,Zimbabwe,169,0.8,33.333333333333336,2,1,0.1806282722513089,1.3514397905759161,1059710
ST Gabriel,West Indies,201,0.8223350253807107,35.5,3,0,0.12152269399707175,1.3118594436310396,1059711
